GEOID,NAME,STUSPS,date,mort_adj
01,Alabama,AL,2000,12.802737000561299
01,Alabama,AL,2001,13.20609521728951
01,Alabama,AL,2002,12.72296153045174
01,Alabama,AL,2003,14.433247451810162
01,Alabama,AL,2004,14.787907199923016
01,Alabama,AL,2005,16.412078852379917
01,Alabama,AL,2006,16.202270002836478
01,Alabama,AL,2007,14.338175499268111
01,Alabama,AL,2008,10.173358263712945
01,Alabama,AL,2009,8.19682812176199
01,Alabama,AL,2010,7.313738921252764
01,Alabama,AL,2011,6.875512798662901
01,Alabama,AL,2012,7.474102235753116
01,Alabama,AL,2013,8.27885501779333
01,Alabama,AL,2014,8.051634512773918
01,Alabama,AL,2015,9.681134332330272
01,Alabama,AL,2016,10.684586087353889
01,Alabama,AL,2017,11.275138176818357
01,Alabama,AL,2018,11.652562296233484
01,Alabama,AL,2019,12.632526923073005
01,Alabama,AL,2020,14.0200246589883
01,Alabama,AL,2021,15.444382402908296
01,Alabama,AL,2022,13.007737830226553
01,Alabama,AL,2023,10.374930409664893
02,Alaska,AK,2000,14.332054595573306
02,Alaska,AK,2001,17.357987988272313
02,Alaska,AK,2002,18.681782304304438
02,Alaska,AK,2003,18.50669479684276
02,Alaska,AK,2004,19.718301313845586
02,Alaska,AK,2005,17.992461158774475
02,Alaska,AK,2006,17.76982742535932
02,Alaska,AK,2007,16.169337057180655
02,Alaska,AK,2008,13.091766006502244
02,Alaska,AK,2009,12.877470864722168
02,Alaska,AK,2010,9.804168732545078
02,Alaska,AK,2011,9.690606618130571
02,Alaska,AK,2012,10.946757707201598
02,Alaska,AK,2013,10.845604683132102
02,Alaska,AK,2014,12.21042634738663
02,Alaska,AK,2015,13.542245033381635
02,Alaska,AK,2016,12.11998788001212
02,Alaska,AK,2017,12.146027641659794
02,Alaska,AK,2018,12.217902213340864
02,Alaska,AK,2019,12.268215915147566
02,Alaska,AK,2020,12.309240957494824
02,Alaska,AK,2021,14.967554424068917
02,Alaska,AK,2022,12.273686851881148
02,Alaska,AK,2023,9.54450877140356
04,Arizona,AZ,2000,26.159819834414154
04,Arizona,AZ,2001,26.73757750341947
04,Arizona,AZ,2002,26.870487032210303
04,Arizona,AZ,2003,27.039955981129378
04,Arizona,AZ,2004,29.54495113937362
04,Arizona,AZ,2005,33.56694902293633
04,Arizona,AZ,2006,28.362249282277524
04,Arizona,AZ,2007,19.78053015387793
04,Arizona,AZ,2008,13.534251688039639
04,Arizona,AZ,2009,13.084973185263987
04,Arizona,AZ,2010,11.237108929100398
04,Arizona,AZ,2011,10.967934086114656
04,Arizona,AZ,2012,10.829206033118457
04,Arizona,AZ,2013,12.208558350126381
04,Arizona,AZ,2014,12.476100470037085
04,Arizona,AZ,2015,13.903503829317659
04,Arizona,AZ,2016,15.263291050657278
04,Arizona,AZ,2017,16.174599409087968
04,Arizona,AZ,2018,16.47072092066305
04,Arizona,AZ,2019,16.731023967466115
04,Arizona,AZ,2020,17.247417300318364
04,Arizona,AZ,2021,18.700617821661282
04,Arizona,AZ,2022,13.983765798261235
04,Arizona,AZ,2023,11.168908342824661
05,Arkansas,AR,2000,12.693254804396945
05,Arkansas,AR,2001,13.375088377754107
05,Arkansas,AR,2002,13.304128307969876
05,Arkansas,AR,2003,15.046887569656079
05,Arkansas,AR,2004,15.638149228675564
05,Arkansas,AR,2005,16.540235741507757
05,Arkansas,AR,2006,15.593099486455445
05,Arkansas,AR,2007,14.041739069383743
05,Arkansas,AR,2008,11.132161719696343
05,Arkansas,AR,2009,10.01089807076186
05,Arkansas,AR,2010,8.555789565906615
05,Arkansas,AR,2011,7.820368182934053
05,Arkansas,AR,2012,8.466322324405088
05,Arkansas,AR,2013,8.782421914980075
05,Arkansas,AR,2014,8.757868186673287
05,Arkansas,AR,2015,9.396818237344835
05,Arkansas,AR,2016,10.695848506675713
05,Arkansas,AR,2017,10.985883140164889
05,Arkansas,AR,2018,11.287577257656546
05,Arkansas,AR,2019,11.254607354885907
05,Arkansas,AR,2020,12.869070080995947
05,Arkansas,AR,2021,14.198715313446547
05,Arkansas,AR,2022,11.488955502947082
05,Arkansas,AR,2023,9.453237766532409
06,California,CA,2000,18.212322551589345
06,California,CA,2001,17.691693413510155
06,California,CA,2002,19.327914501106235
06,California,CA,2003,18.92029023555024
06,California,CA,2004,19.199104439080312
06,California,CA,2005,20.458891541722057
06,California,CA,2006,17.04551669319641
06,California,CA,2007,10.86887226981308
06,California,CA,2008,9.452431825223334
06,California,CA,2009,9.361160582620236
06,California,CA,2010,8.226251388347395
06,California,CA,2011,7.7318948714181905
06,California,CA,2012,8.11710751301287
06,California,CA,2013,8.208341724663567
06,California,CA,2014,8.007939314643753
06,California,CA,2015,8.636578335719015
06,California,CA,2016,9.19559349203327
06,California,CA,2017,9.304031734374469
06,California,CA,2018,9.128376234546325
06,California,CA,2019,9.102985703241146
06,California,CA,2020,9.220668583312602
06,California,CA,2021,11.419065394202997
06,California,CA,2022,7.607461931440836
06,California,CA,2023,5.620400750998461
08,Colorado,CO,2000,30.968903753962692
08,Colorado,CO,2001,30.051831500962447
08,Colorado,CO,2002,27.391732507038338
08,Colorado,CO,2003,26.055858461043844
08,Colorado,CO,2004,26.666590892747188
08,Colorado,CO,2005,27.20273029054243
08,Colorado,CO,2006,25.209605156148083
08,Colorado,CO,2007,20.816558656482652
08,Colorado,CO,2008,15.542780480721838
08,Colorado,CO,2009,13.4749341085778
08,Colorado,CO,2010,11.490748263658784
08,Colorado,CO,2011,11.519162810675725
08,Colorado,CO,2012,13.477971218755174
08,Colorado,CO,2013,16.12666374995399
08,Colorado,CO,2014,16.814142262963095
08,Colorado,CO,2015,17.60070168130703
08,Colorado,CO,2016,19.120307137069513
08,Colorado,CO,2017,18.86986928699131
08,Colorado,CO,2018,17.90367297361578
08,Colorado,CO,2019,18.58127292486254
08,Colorado,CO,2020,19.28467957902233
08,Colorado,CO,2021,21.164581984019534
08,Colorado,CO,2022,15.579420031264986
08,Colorado,CO,2023,11.56932834944816
09,Connecticut,CT,2000,17.293041133696605
09,Connecticut,CT,2001,17.186960631664498
09,Connecticut,CT,2002,17.347312568792937
09,Connecticut,CT,2003,18.080919865363157
09,Connecticut,CT,2004,17.734076944155394
09,Connecticut,CT,2005,18.534592392947047
09,Connecticut,CT,2006,15.920579054203886
09,Connecticut,CT,2007,13.608257944529338
09,Connecticut,CT,2008,9.307365595294874
09,Connecticut,CT,2009,8.141934697753134
09,Connecticut,CT,2010,7.543642064801003
09,Connecticut,CT,2011,6.687785206173271
09,Connecticut,CT,2012,7.788138164908819
09,Connecticut,CT,2013,8.621188322350125
09,Connecticut,CT,2014,8.343305901470563
09,Connecticut,CT,2015,9.195886596326494
09,Connecticut,CT,2016,10.056343457650224
09,Connecticut,CT,2017,10.908102314643372
09,Connecticut,CT,2018,10.071166781039684
09,Connecticut,CT,2019,10.936556196232104
09,Connecticut,CT,2020,13.213359775046767
09,Connecticut,CT,2021,14.429650044912286
09,Connecticut,CT,2022,12.469843761170901
09,Connecticut,CT,2023,8.846680393765745
10,Delaware,DE,2000,20.34657853207066
10,Delaware,DE,2001,18.85134956811558
10,Delaware,DE,2002,19.846955166968712
10,Delaware,DE,2003,20.78231986924253
10,Delaware,DE,2004,20.462131215221902
10,Delaware,DE,2005,22.48121635212684
10,Delaware,DE,2006,20.94806276970631
10,Delaware,DE,2007,18.35390691586684
10,Delaware,DE,2008,10.18244681934303
10,Delaware,DE,2009,8.971325401186457
10,Delaware,DE,2010,8.892376676629835
10,Delaware,DE,2011,8.81455282671691
10,Delaware,DE,2012,8.73822251446722
10,Delaware,DE,2013,9.739606216898867
10,Delaware,DE,2014,10.716608922005593
10,Delaware,DE,2015,11.676476676237838
10,Delaware,DE,2016,13.684368976903944
10,Delaware,DE,2017,15.658568055268482
10,Delaware,DE,2018,15.512133073418926
10,Delaware,DE,2019,14.334451420544136
10,Delaware,DE,2020,15.200509926439667
10,Delaware,DE,2021,19.90285416880208
10,Delaware,DE,2022,14.713686376793966
10,Delaware,DE,2023,11.629146517555165
11,District of Columbia,DC,2000,15.733000492967347
11,District of Columbia,DC,2001,17.40631919011878
11,District of Columbia,DC,2002,19.191915667233122
11,District of Columbia,DC,2003,19.349096397198252
11,District of Columbia,DC,2004,22.897240706362265
11,District of Columbia,DC,2005,22.922191502567284
11,District of Columbia,DC,2006,21.027509238961873
11,District of Columbia,DC,2007,19.15028446877111
11,District of Columbia,DC,2008,12.064056694172717
11,District of Columbia,DC,2009,10.131233241251682
11,District of Columbia,DC,2010,9.912734890513843
11,District of Columbia,DC,2011,9.672894936239501
11,District of Columbia,DC,2012,9.437865029092219
11,District of Columbia,DC,2013,10.74346298646784
11,District of Columbia,DC,2014,12.055400593427095
11,District of Columbia,DC,2015,11.816594634675205
11,District of Columbia,DC,2016,10.180692752510268
11,District of Columbia,DC,2017,11.476461061084898
11,District of Columbia,DC,2018,12.781422061018509
11,District of Columbia,DC,2019,12.707323512925466
11,District of Columbia,DC,2020,14.028865794258266
11,District of Columbia,DC,2021,16.441542097073857
11,District of Columbia,DC,2022,13.413836223021422
11,District of Columbia,DC,2023,8.83688870822361
12,Florida,FL,2000,23.866623586268652
12,Florida,FL,2001,24.760093039259235
12,Florida,FL,2002,25.285556015595557
12,Florida,FL,2003,26.05256325171275
12,Florida,FL,2004,28.193570740425184
12,Florida,FL,2005,32.1712127280527
12,Florida,FL,2006,27.1921765796095
12,Florida,FL,2007,16.76843692361901
12,Florida,FL,2008,9.49949277566273
12,Florida,FL,2009,8.148978772124746
12,Florida,FL,2010,7.428575703792547
12,Florida,FL,2011,7.241962956100008
12,Florida,FL,2012,7.719400916463856
12,Florida,FL,2013,9.05293141591223
12,Florida,FL,2014,10.224701670403972
12,Florida,FL,2015,11.672125446069314
12,Florida,FL,2016,13.089489396956074
12,Florida,FL,2017,13.776935398424444
12,Florida,FL,2018,14.302566849679929
12,Florida,FL,2019,15.028808784045603
12,Florida,FL,2020,15.828236395814868
12,Florida,FL,2021,18.551849074248988
12,Florida,FL,2022,14.789494028932836
12,Florida,FL,2023,12.295049703401828
13,Georgia,GA,2000,19.933628310516823
13,Georgia,GA,2001,20.17419522270282
13,Georgia,GA,2002,19.627994268155543
13,Georgia,GA,2003,19.36727461740065
13,Georgia,GA,2004,19.956092036128055
13,Georgia,GA,2005,22.40664885935593
13,Georgia,GA,2006,22.06248642256018
13,Georgia,GA,2007,17.219273436500668
13,Georgia,GA,2008,10.731371365103033
13,Georgia,GA,2009,8.938922834852569
13,Georgia,GA,2010,7.51631271526385
13,Georgia,GA,2011,7.140212349915286
13,Georgia,GA,2012,7.573019049676986
13,Georgia,GA,2013,8.420552885482888
13,Georgia,GA,2014,9.3335414514491
13,Georgia,GA,2015,11.194741064166193
13,Georgia,GA,2016,12.99905456130034
13,Georgia,GA,2017,13.727519866265158
13,Georgia,GA,2018,14.259383315894107
13,Georgia,GA,2019,14.20772636859923
13,Georgia,GA,2020,14.659173743608436
13,Georgia,GA,2021,16.866868049657175
13,Georgia,GA,2022,13.744885757091216
13,Georgia,GA,2023,10.698845893733079
15,Hawaii,HI,2000,12.360745896850398
15,Hawaii,HI,2001,14.68251508220577
15,Hawaii,HI,2002,14.52066088367902
15,Hawaii,HI,2003,16.784504545403685
15,Hawaii,HI,2004,15.703899827963777
15,Hawaii,HI,2005,17.79181870291453
15,Hawaii,HI,2006,15.270311231848373
15,Hawaii,HI,2007,12.161058012047048
15,Hawaii,HI,2008,9.007568609524153
15,Hawaii,HI,2009,6.682918534480518
15,Hawaii,HI,2010,6.598221119586159
15,Hawaii,HI,2011,7.248677478793994
15,Hawaii,HI,2012,6.450692696884101
15,Hawaii,HI,2013,7.807941670416844
15,Hawaii,HI,2014,7.065465066574345
15,Hawaii,HI,2015,9.135635372899067
15,Hawaii,HI,2016,9.098002988344058
15,Hawaii,HI,2017,9.11792492861717
15,Hawaii,HI,2018,9.134974162076928
15,Hawaii,HI,2019,9.183287828964795
15,Hawaii,HI,2020,8.528748278258941
15,Hawaii,HI,2021,11.05930900054951
15,Hawaii,HI,2022,8.336812794784489
15,Hawaii,HI,2023,4.877579717072505
16,Idaho,ID,2000,20.008773077426255
16,Idaho,ID,2001,20.45513431447269
16,Idaho,ID,2002,19.39760006923451
16,Idaho,ID,2003,21.2706655517904
16,Idaho,ID,2004,22.273283125042212
16,Idaho,ID,2005,26.60615400342099
16,Idaho,ID,2006,23.83110149393771
16,Idaho,ID,2007,19.2677587277964
16,Idaho,ID,2008,12.383335940351426
16,Idaho,ID,2009,11.579740343622362
16,Idaho,ID,2010,10.185769334340876
16,Idaho,ID,2011,10.099275881919267
16,Idaho,ID,2012,11.90543326378054
16,Idaho,ID,2013,13.647193981835583
16,Idaho,ID,2014,12.865691978179786
16,Idaho,ID,2015,16.338929921119277
16,Idaho,ID,2016,18.408157545325636
16,Idaho,ID,2017,19.18889137633777
16,Idaho,ID,2018,17.693316606490367
16,Idaho,ID,2019,17.886487876314938
16,Idaho,ID,2020,19.158000408339095
16,Idaho,ID,2021,18.90223188102935
16,Idaho,ID,2022,13.409001359466446
16,Idaho,ID,2023,10.688513309234978
17,Illinois,IL,2000,17.371497763299026
17,Illinois,IL,2001,18.17680263635705
17,Illinois,IL,2002,18.68180542244991
17,Illinois,IL,2003,19.831146942745967
17,Illinois,IL,2004,19.301380572945995
17,Illinois,IL,2005,20.856623560070208
17,Illinois,IL,2006,19.218670107573143
17,Illinois,IL,2007,14.49290658864862
17,Illinois,IL,2008,9.727750085941533
17,Illinois,IL,2009,8.127045729792297
17,Illinois,IL,2010,7.242683235018451
17,Illinois,IL,2011,6.7610714293208085
17,Illinois,IL,2012,8.072635713231724
17,Illinois,IL,2013,9.382915865952405
17,Illinois,IL,2014,9.545915543327126
17,Illinois,IL,2015,10.264716940709985
17,Illinois,IL,2016,11.152959406581447
17,Illinois,IL,2017,11.502443721555416
17,Illinois,IL,2018,11.473761432994214
17,Illinois,IL,2019,11.368106634734918
17,Illinois,IL,2020,12.23433032532991
17,Illinois,IL,2021,14.499216372515129
17,Illinois,IL,2022,11.285502143251964
17,Illinois,IL,2023,8.844840696849142
18,Indiana,IN,2000,16.743638156190567
18,Indiana,IN,2001,17.787902920479915
18,Indiana,IN,2002,18.19372975846037
18,Indiana,IN,2003,18.074317073225835
18,Indiana,IN,2004,17.808418954125997
18,Indiana,IN,2005,18.3161384610876
18,Indiana,IN,2006,17.686065701523322
18,Indiana,IN,2007,14.26421942821171
18,Indiana,IN,2008,10.11703699691477
18,Indiana,IN,2009,8.824451471322469
18,Indiana,IN,2010,8.011641531425278
18,Indiana,IN,2011,7.978825424834094
18,Indiana,IN,2012,9.022801537057182
18,Indiana,IN,2013,10.19697667251344
18,Indiana,IN,2014,10.006035458660746
18,Indiana,IN,2015,11.646475912516513
18,Indiana,IN,2016,12.353308231009274
18,Indiana,IN,2017,13.209111645212866
18,Indiana,IN,2018,13.585169533212083
18,Indiana,IN,2019,13.222384159286644
18,Indiana,IN,2020,13.91571488358246
18,Indiana,IN,2021,14.969624870006419
18,Indiana,IN,2022,13.172773808544564
18,Indiana,IN,2023,10.783715249295451
19,Iowa,IA,2000,12.973414401241078
19,Iowa,IA,2001,15.34790110631082
19,Iowa,IA,2002,15.677004628806019
19,Iowa,IA,2003,18.694771820112788
19,Iowa,IA,2004,15.912595835301246
19,Iowa,IA,2005,17.878503090282393
19,Iowa,IA,2006,17.76946896780172
19,Iowa,IA,2007,16.004203770857146
19,Iowa,IA,2008,11.933435297908268
19,Iowa,IA,2009,11.869944969616238
19,Iowa,IA,2010,9.833425057337063
19,Iowa,IA,2011,10.108348452379245
19,Iowa,IA,2012,11.700300697727933
19,Iowa,IA,2013,11.63566784693279
19,Iowa,IA,2014,11.573169920174061
19,Iowa,IA,2015,13.130331995640729
19,Iowa,IA,2016,14.043105952042794
19,Iowa,IA,2017,13.996095089470039
19,Iowa,IA,2018,13.651227023080097
19,Iowa,IA,2019,13.292838704695157
19,Iowa,IA,2020,14.540576268325472
19,Iowa,IA,2021,15.009643696074727
19,Iowa,IA,2022,11.563609383775256
19,Iowa,IA,2023,10.601795320492274
20,Kansas,KS,2000,15.220807512099613
20,Kansas,KS,2001,16.653331665533006
20,Kansas,KS,2002,16.58353402480528
20,Kansas,KS,2003,17.62759070497142
20,Kansas,KS,2004,16.822869447584512
20,Kansas,KS,2005,17.84869334815625
20,Kansas,KS,2006,16.648986167226035
20,Kansas,KS,2007,15.446595193235108
20,Kansas,KS,2008,12.10793440063588
20,Kansas,KS,2009,10.94360723887847
20,Kansas,KS,2010,9.09642419564869
20,Kansas,KS,2011,8.363310574674433
20,Kansas,KS,2012,9.701929020687285
20,Kansas,KS,2013,10.710685048505583
20,Kansas,KS,2014,9.993586874078392
20,Kansas,KS,2015,11.337412740572168
20,Kansas,KS,2016,11.671908154441315
20,Kansas,KS,2017,11.680268453793547
20,Kansas,KS,2018,11.6728257988676
20,Kansas,KS,2019,12.01661038887468
20,Kansas,KS,2020,13.041366872525787
20,Kansas,KS,2021,13.95532797403356
20,Kansas,KS,2022,11.577558061453677
20,Kansas,KS,2023,9.522041144739786
21,Kentucky,KY,2000,14.324450280697482
21,Kentucky,KY,2001,14.994597028808307
21,Kentucky,KY,2002,14.42586876127021
21,Kentucky,KY,2003,16.27331395108776
21,Kentucky,KY,2004,15.677379784042888
21,Kentucky,KY,2005,16.49635573984721
21,Kentucky,KY,2006,15.87964085466597
21,Kentucky,KY,2007,14.09551875267815
21,Kentucky,KY,2008,10.023595076596584
21,Kentucky,KY,2009,9.265534943343571
21,Kentucky,KY,2010,7.818852817914556
21,Kentucky,KY,2011,7.321285700133408
21,Kentucky,KY,2012,8.432346938659233
21,Kentucky,KY,2013,9.303579427380571
21,Kentucky,KY,2014,8.829538292122784
21,Kentucky,KY,2015,11.063130739563517
21,Kentucky,KY,2016,12.161324016858297
21,Kentucky,KY,2017,12.119607055406805
21,Kentucky,KY,2018,11.64803317359848
21,Kentucky,KY,2019,11.850606337391234
21,Kentucky,KY,2020,12.507674910341189
21,Kentucky,KY,2021,13.754547874700506
21,Kentucky,KY,2022,11.747591688290733
21,Kentucky,KY,2023,9.50033958190552
22,Louisiana,LA,2000,12.522683387430579
22,Louisiana,LA,2001,12.952572369706614
22,Louisiana,LA,2002,13.11907876494769
22,Louisiana,LA,2003,13.050088895436051
22,Louisiana,LA,2004,13.180330202419118
22,Louisiana,LA,2005,13.765593358254156
22,Louisiana,LA,2006,16.50140087596873
22,Louisiana,LA,2007,14.169546855606146
22,Louisiana,LA,2008,10.596119655892142
22,Louisiana,LA,2009,9.128052777065344
22,Louisiana,LA,2010,7.481348887204363
22,Louisiana,LA,2011,6.992634134019077
22,Louisiana,LA,2012,7.822571900843686
22,Louisiana,LA,2013,8.646704308652756
22,Louisiana,LA,2014,8.824913289845883
22,Louisiana,LA,2015,9.213631546445917
22,Louisiana,LA,2016,9.399006183264387
22,Louisiana,LA,2017,10.270294905099266
22,Louisiana,LA,2018,9.433052128332386
22,Louisiana,LA,2019,10.51889268260744
22,Louisiana,LA,2020,10.763525769387586
22,Louisiana,LA,2021,12.751113182986902
22,Louisiana,LA,2022,10.897940136742994
22,Louisiana,LA,2023,7.871004727194255
23,Maine,ME,2000,15.66082413520929
23,Maine,ME,2001,15.555825189858847
23,Maine,ME,2002,15.432575079477763
23,Maine,ME,2003,16.838714961121703
23,Maine,ME,2004,16.746746563872094
23,Maine,ME,2005,17.44026897444394
23,Maine,ME,2006,15.865592742322375
23,Maine,ME,2007,14.317578972751386
23,Maine,ME,2008,9.770696778450953
23,Maine,ME,2009,9.777450191412392
23,Maine,ME,2010,8.28530991954964
23,Maine,ME,2011,6.774695458620537
23,Maine,ME,2012,9.03550501696416
23,Maine,ME,2013,9.032451339550168
23,Maine,ME,2014,9.014307960310003
23,Maine,ME,2015,10.53345953421042
23,Maine,ME,2016,12.759429218192244
23,Maine,ME,2017,13.475646138516167
23,Maine,ME,2018,12.68540275780656
23,Maine,ME,2019,13.375242426268978
23,Maine,ME,2020,14.813267651304567
23,Maine,ME,2021,15.230778938298663
23,Maine,ME,2022,12.955810609081448
23,Maine,ME,2023,10.747125860307424
24,Maryland,MD,2000,19.958448769109744
24,Maryland,MD,2001,21.582636099452042
24,Maryland,MD,2002,21.68962550288224
24,Maryland,MD,2003,20.74134290006548
24,Maryland,MD,2004,21.092729588502483
24,Maryland,MD,2005,23.245920922026208
24,Maryland,MD,2006,20.96895404191694
24,Maryland,MD,2007,15.388947693143676
24,Maryland,MD,2008,10.202349530735898
24,Maryland,MD,2009,9.946970432019612
24,Maryland,MD,2010,8.98288828880124
24,Maryland,MD,2011,8.218838914353022
24,Maryland,MD,2012,8.66113316492241
24,Maryland,MD,2013,9.61993331192195
24,Maryland,MD,2014,9.899222558683933
24,Maryland,MD,2015,11.522030121592486
24,Maryland,MD,2016,12.485404562066943
24,Maryland,MD,2017,13.270990642956273
24,Maryland,MD,2018,13.074809591878921
24,Maryland,MD,2019,13.70778374203999
24,Maryland,MD,2020,14.36638780462109
24,Maryland,MD,2021,17.165866807448367
24,Maryland,MD,2022,13.46532378993381
24,Maryland,MD,2023,9.870146092724683
25,Massachusetts,MA,2000,16.03495242335293
25,Massachusetts,MA,2001,15.943394073496545
25,Massachusetts,MA,2002,16.82975425753825
25,Massachusetts,MA,2003,17.282814576419234
25,Massachusetts,MA,2004,17.15458196545036
25,Massachusetts,MA,2005,17.02249937141688
25,Massachusetts,MA,2006,14.820398609441
25,Massachusetts,MA,2007,12.127697188193407
25,Massachusetts,MA,2008,9.275051178959485
25,Massachusetts,MA,2009,8.898963470215246
25,Massachusetts,MA,2010,8.375923635942764
25,Massachusetts,MA,2011,7.559472639093541
25,Massachusetts,MA,2012,9.303345948370332
25,Massachusetts,MA,2013,9.82851036416418
25,Massachusetts,MA,2014,9.75629369636995
25,Massachusetts,MA,2015,10.297927880374562
25,Massachusetts,MA,2016,11.717697238138761
25,Massachusetts,MA,2017,11.510061833800535
25,Massachusetts,MA,2018,11.037335238725943
25,Massachusetts,MA,2019,11.022667099644766
25,Massachusetts,MA,2020,12.040198596548032
25,Massachusetts,MA,2021,13.014965350872739
25,Massachusetts,MA,2022,11.743241191853054
25,Massachusetts,MA,2023,8.141230059878033
26,Michigan,MI,2000,18.48791001210757
26,Michigan,MI,2001,18.116087085331774
26,Michigan,MI,2002,17.372707476554332
26,Michigan,MI,2003,17.52786931220641
26,Michigan,MI,2004,16.608132117193744
26,Michigan,MI,2005,16.615035691981912
26,Michigan,MI,2006,14.348230150792924
26,Michigan,MI,2007,11.29854926627421
26,Michigan,MI,2008,8.344317504699209
26,Michigan,MI,2009,7.675534164156043
26,Michigan,MI,2010,6.884265474689846
26,Michigan,MI,2011,6.98164828216544
26,Michigan,MI,2012,8.183232475834965
26,Michigan,MI,2013,9.480774300888712
26,Michigan,MI,2014,9.665694828037724
26,Michigan,MI,2015,10.97188449565015
26,Michigan,MI,2016,12.055313394447746
26,Michigan,MI,2017,12.629360737843339
26,Michigan,MI,2018,12.415785429595186
26,Michigan,MI,2019,12.418882911466886
26,Michigan,MI,2020,12.74261768484697
26,Michigan,MI,2021,14.245699666580894
26,Michigan,MI,2022,11.960195274108239
26,Michigan,MI,2023,9.564362229895188
27,Minnesota,MN,2000,18.64729294005382
27,Minnesota,MN,2001,19.66767252763308
27,Minnesota,MN,2002,20.123791202715317
27,Minnesota,MN,2003,21.568902154753115
27,Minnesota,MN,2004,20.244852647938277
27,Minnesota,MN,2005,20.90007848272462
27,Minnesota,MN,2006,18.204512201380638
27,Minnesota,MN,2007,14.595167501631876
27,Minnesota,MN,2008,11.435066546369766
27,Minnesota,MN,2009,11.361047852165502
27,Minnesota,MN,2010,9.414539890723553
27,Minnesota,MN,2011,9.35170257097007
27,Minnesota,MN,2012,10.785681078568109
27,Minnesota,MN,2013,12.37367310824083
27,Minnesota,MN,2014,12.28756947290912
27,Minnesota,MN,2015,13.858492392964116
27,Minnesota,MN,2016,14.840661965917151
27,Minnesota,MN,2017,14.723618821309673
27,Minnesota,MN,2018,14.619982092304861
27,Minnesota,MN,2019,14.184263871279224
27,Minnesota,MN,2020,14.494439261405798
27,Minnesota,MN,2021,15.739857235997121
27,Minnesota,MN,2022,12.59996850007875
27,Minnesota,MN,2023,9.93392199082768
28,Mississippi,MS,2000,10.532402409392375
28,Mississippi,MS,2001,10.164760248356638
28,Mississippi,MS,2002,9.794727008714858
28,Mississippi,MS,2003,10.110476126725406
28,Mississippi,MS,2004,11.076458717692221
28,Mississippi,MS,2005,11.7001606707358
28,Mississippi,MS,2006,12.736757386802928
28,Mississippi,MS,2007,11.269144740212065
28,Mississippi,MS,2008,7.802413048891277
28,Mississippi,MS,2009,5.745623018182531
28,Mississippi,MS,2010,5.722720716080677
28,Mississippi,MS,2011,5.370664824528632
28,Mississippi,MS,2012,5.360854171699448
28,Mississippi,MS,2013,6.354857234787559
28,Mississippi,MS,2014,6.350496608834811
28,Mississippi,MS,2015,6.688446477880806
28,Mississippi,MS,2016,8.025158873067065
28,Mississippi,MS,2017,8.693692458623039
28,Mississippi,MS,2018,9.051657811128107
28,Mississippi,MS,2019,8.730026287452231
28,Mississippi,MS,2020,10.449017893437546
28,Mississippi,MS,2021,11.866088144014983
28,Mississippi,MS,2022,10.54806378380144
28,Mississippi,MS,2023,7.823954226466057
29,Missouri,MO,2000,15.337190815162776
29,Missouri,MO,2001,16.663292645354435
29,Missouri,MO,2002,16.21195367258021
29,Missouri,MO,2003,18.040415083678628
29,Missouri,MO,2004,18.26804652471293
29,Missouri,MO,2005,18.651883322107665
29,Missouri,MO,2006,18.14228480511763
29,Missouri,MO,2007,15.456181555442171
29,Missouri,MO,2008,11.310086098452443
29,Missouri,MO,2009,10.233031285563978
29,Missouri,MO,2010,8.338768820809698
29,Missouri,MO,2011,7.818761767652352
29,Missouri,MO,2012,8.96112811973793
29,Missouri,MO,2013,9.928861363143305
29,Missouri,MO,2014,9.40729114575855
29,Missouri,MO,2015,11.192658406155566
29,Missouri,MO,2016,12.476639134882975
29,Missouri,MO,2017,12.92669972192869
